client_id,client_nino,adviser_id,fee_date,fee_amount
MAdEhk/2zyNJMQvYRvVlzbsnkadeyuu0hRe8FPi9oLg=,LE220863D,5,2025-05-01,1.6
O56AAZWGwVS6nkoD8yAUyNw2wxyowRh8MeuVH3zyGlQ=,CB581842A,5,2025-05-01,5.94
Gv+4cctE4Vg7C8KrMwM0xALq96dY2vv4fQTnvRV8SFg=,MZ678030C,5,2025-05-01,0.21
6SyndH4DH/POcyahDt81TLI/bMXh8Z//sVj07sfQt3Q=,HJ689930C,5,2025-05-01,1.66
Kl7gz6j+BSdkfG/lJMkpet1p79e/fmIL4xQrdyasxn0=,JR333277A,5,2025-05-01,1.93
Kk+CMGJ96h1sKlfvDfwBxnnpclnYfSVRF7Ax4nrgdDo=,BY842642D,5,2025-05-01,2.11
3C/RMLS/BoGhBQeMdzu5AvQNSvlLZ2WTWFdXMO748xc=,JZ863860B,5,2025-05-01,0.98
DvP5ed70sY+7nLDzUbiFBctK3knmEuudOTBkNLjGMMo=,GM418194A,5,2025-05-01,15.06
r/ZCbfArDycA0rRwVWjVcWCNb3uDW54uKwWX8wV7Boo=,BC711658A,5,2025-05-01,1.14
7quVHl9y1AgbV1mFvRJ3bufGGI4KxhcM4JYvWxHTqVI=,LX068710C,5,2025-05-01,1.17
xZZm4HahzrjaT9EvyHPJr5jXt3NoC9e3gl3QPixULkc=,HS348527B,5,2025-05-01,3.83
6SyndH4DH/POcyahDt81TLI/bMXh8Z//sVj07sfQt3Q=,HJ689930C,5,2025-05-01,1.39
a3LKFCV4LItcviLtbXp4ZUlpNfDkbhKp5DcNV62+QU8=,AZ813852C,5,2025-05-01,12.38
Oaa/terIevMneB1SPVrSGRzvXQX8/L/FrLCPfGbXsY0=,CY270714D,5,2025-05-01,5.91
FGlLdBWgrfxO9FukHGUI3V5vzJzMyN6FrAek5xDCxYc=,EA472380A,5,2025-05-01,4.91
OYSIG0KKttOmSDXEW+3942BzU9cSFMcBa3W/+ghrtBE=,HW792698D,5,2025-05-01,3.58
Kl7gz6j+BSdkfG/lJMkpet1p79e/fmIL4xQrdyasxn0=,JR333277A,5,2025-05-01,4.81
O/pktj80Q2Qx+BTyo7xFY7sR3obIVRpoK6g/JL7W0Lo=,JB218995C,5,2025-05-01,10.93
bL5DaZaUFt9fw44YaBbxLe/eCPthV6Y65esPI3pAT+A=,EX825831A,5,2025-05-01,2.5
0fGShaQ+9D76LMzB9ZUFvuaA/la94HFzmfVrONLdIXw=,GZ145960A,5,2025-05-01,9.99
uOQVyDp30UXUnH2VeyhAc2Y2OnVMUt0/e3k2IVJZhb0=,GN204687B,5,2025-05-01,2.09
uOQVyDp30UXUnH2VeyhAc2Y2OnVMUt0/e3k2IVJZhb0=,GN204687B,5,2025-05-01,10.5
jtW7uSFzTB1Vp6bbWN0gPCfi9f5Um31K7Kgtm1zzJaY=,KA542237B,5,2025-05-01,1.92
huXvZfT/nBvEy3j79hDLhYo7wdt6UJ78Cxv5GhBjgmw=,BY418345C,5,2025-05-01,0.08
CkGdMUzxj466WZyTUPO0Yw4SBKTVL3tIc5rDkP/7uL4=,MP705881B,5,2025-05-01,2.03
AdMr5Emf4rZkgBH/7GCY/r2bdHj3DItB33vDDkkCA4U=,BT078802A,5,2025-05-01,0.78
yAFbDnGl22tcMa7oBnTZkGweTAxH3ZLZJ/HQdFxnx3E=,CS079254A,5,2025-05-01,4.64
qiRSrRCB2acNbFVFqgtbiTo7Qtbh0Z+N7xI7g821QAk=,LP929293B,5,2025-05-01,0.77
/dDHDScjbY0fP1HlDdFRljmfVf2UFep9SkniEyn69t8=,BA405702C,5,2025-05-01,0.77
+Cqm2tlOed56QeFT025aIt32hJpiCDowN/GoG81DgP8=,KP522281C,5,2025-05-01,27.53
cE4px9NVFmNxWJS7271L9unU9oRnfqPlquuOtAn9ZbM=,JS721169D,5,2025-05-01,21.3
/dDHDScjbY0fP1HlDdFRljmfVf2UFep9SkniEyn69t8=,BA405702C,5,2025-05-01,0.7
rmtx7Hzrhp/StxEXd6TCNMGlLM4TRDTZnU00yn/Xmv4=,MA300636B,5,2025-05-01,27.67
oYr5iy5BUZzCPGG8Cz9w3cXX5PrgRc5q/JDnx/zw7aI=,HK875153B,2,2025-05-01,5.54
+guv4g9RzYfiOEY0BhUggLN6d6ENYdptoluEj4byEK4=,MY521207B,3,2025-05-01,64.63
c30kpjcA17sdEvwYIlS8WlopTr6/OY3coeiyGb4eu6A=,NG870160D,5,2025-05-01,0.09
w8koM3t0taBcKaLKALdvq454Yt5KhF7j3GVtqEUa05c=,AH560037D,2,2025-05-01,35.6
jgI69tJh7BmC6lWYgwJT8nQH/HwsyEAz4qrn/0fT/SM=,CA763047C,2,2025-05-01,3.22
oYr5iy5BUZzCPGG8Cz9w3cXX5PrgRc5q/JDnx/zw7aI=,HK875153B,2,2025-05-01,2.66
UyuvIV3fQV0bdKWEGUYRW3f1C+D3ORcgeLKRdvlzqLA=,CR305583D,3,2025-05-01,16.02
ILAevtmQB8m70yxhF6IOaunlivPhfk+GN5zx6BtH4JQ=,LE390320B,3,2025-05-01,6.73
zHVI/TpwziBX+vfq06YS23CgBrpUXkTOEw9a+68GtjQ=,KB778264B,1,2025-05-01,13.69
JUSPKKduBApV4udTNaYn/cI5z7cEdl2jwXHhuXmAErs=,HL029614B,1,2025-05-01,44.6
8IrhsVln96tbZCu8//29ErkfTN0C2ewhuPSUzobXVx8=,JN606560C,1,2025-05-01,66.93
VzKkfLNj/Job7fmE2aO9yhOCsfjp/ozAVWVkmPHpvHs=,AN737627B,1,2025-05-01,5.46
bqf17oyK4oyBhy507pN9QtZhLhYDos240KIXsaZ2eLc=,EE079410D,3,2025-05-01,2.54
+ZNmkFh6QHByZnTCVbqmZtfbtK+/UgxQvEp241Eiqfk=,KT838974C,3,2025-05-01,2.49
8TTr4i9Lu03KhcjyJysA4RAdA9tcMZBNisOdZTpJIX4=,KC248072B,3,2025-05-01,29.71
Tte7pkfE2QC0YctnYKJzegjH7AN22RLvlG578qUmCW0=,JK991667B,3,2025-05-01,0.24
5r/oVF8zH5/ogPEqD6EQkjNrqEoalBWyaQXbRbO91h0=,MY341937D,3,2025-05-01,0.46
VeQVrYBR1tWp63BclJox+V+0ZBFDzd88Ad6B/XrN0l8=,HG553856D,3,2025-05-01,0.28
l8WZRCzfW5TksMWoHDllDDKLK9KT2dRF3lBMntkQ10o=,JP171159D,3,2025-05-01,0.68
vlYh3A1HlZWKZHloiCRJhsV73ViPlaOkcANYLB4CBYY=,LX895767B,3,2025-05-01,0.05
PM3nSivOk+tYvzyjkcdJFNzZQ+Ugmtt3IKkjtvdrk9o=,LZ897845B,3,2025-05-01,0.5
h5ko/Dv4ctzDwbuUOyS0BITiSPTP6LMImUIlFvanZzQ=,NC666829C,3,2025-05-01,0.34
0gX0A93fbxq6+eOaURmSQynuPX6KAJ/cVIHHISWupnQ=,EZ651584C,3,2025-05-01,0.26
LxyhgCFWHnr/u5tsm5TMf4tKxoJ19WGDmCCdew4LLt8=,CZ557088C,3,2025-05-01,0.03
r39fWX/knIV59lVfG2Cg1GoJ+z7KwlBgXtIzBRoyz04=,GJ861953B,4,2025-05-01,14.36
sci47R3+ZW9rY6V6BBbMabbf/rrnFVEe4XnuYiqtvrA=,GS426696D,4,2025-05-01,14.39
4RrJ5MYBfTfk2K9Utq4f4/xYOIy52m90L8dyI0WOZY4=,AB444325B,4,2025-05-01,9.83
vn3bOl09phiFZgdsOCEN9z9sZYQudIQoe2loUFDd3Fg=,NB702308B,4,2025-05-01,23.76
eCJJaYwkJ8juQKZlazewpU1h70T8aEUB4rcvRuQXUK4=,AK593439D,5,2025-05-01,0.47
SumHgXFJqa48AXSZOQK97tvnmo3XZLNEra7wExVLr7Y=,BW207416D,5,2025-05-01,75.86
SumHgXFJqa48AXSZOQK97tvnmo3XZLNEra7wExVLr7Y=,BW207416D,5,2025-05-01,13.92
s7ijslthEDdhwDekqakYct62Z8yMCineYHWOMtaHk/4=,BA437428B,4,2025-05-01,30.73
nFSjgg3vFRXXUWF/eyhfsyEASVWxvSlzDTKaE6a2qTY=,JP640020A,4,2025-05-01,4.94
mXflAN4QQS3XaR8D23UlLCCWsLyyV3GBOOOR5Ilx0Hg=,GW763187D,4,2025-05-01,8.09
vQkH/JhNKtxvI+c8dVNkyVB7Q1yZqwrIvrr4RvujfVw=,GP637740D,4,2025-05-01,33.73
UfnC1cGvXAQQ1zmdWE1xugi7CKscH6cu5uV2v2rzh44=,CE092989D,4,2025-05-01,43.3
iWwHWiq1n0ue5I3VOdW03ZEsReunw3342r5QeRTQhoo=,AB483071C,5,2025-05-01,17.92
hAuKN5xT2xdEXStGJuxfa/dtdUgciW2S18abhTkrI5E=,BL525654B,5,2025-05-01,14.17
5uQEsqzP2tLaYk6+uMjCpIKj1rqXjrSmpYkkgYGVAfQ=,HX069410B,5,2025-05-01,6.0
5/sYhQFNvGYeUPvOZP5mXMRzy6Uc2K3lVJxnv9qddUI=,KW619228A,5,2025-05-01,0.87
zPoErxFJIxYw5Ifb+DhfxqDPxtqLyFzJMrJrPKy7LoA=,JZ122938D,5,2025-05-01,30.91
bjg0kjaM8xg97VAlozX6pwLiLl3ignzNTx+kFleRW0M=,JT457981A,5,2025-05-01,81.31
20rZmhkueOTeMZxRd6/sDXWLPSpcNbe9lYykW8DZKVE=,MW263600A,3,2025-05-01,11.47
z1rmqqWRcOnFWTnaUwga/C7sGH2b0JGjsg0fAdnIqVs=,JA986614A,3,2025-05-01,1.26
IPUznhyBCuMBi8+Oh2K8rTeY7U7QoiQsZlh3O8XFaug=,GB224434D,3,2025-05-01,3.0
GCBoTQFtGUXhefid+X0o2M4xsEZcWcEkxB/nohrsjwA=,MJ070098C,3,2025-05-01,1.63
hQ/8jGbBPovrBlEMztgnwqTMIRhCXkcsaaSX/rFPb+Q=,AG231021A,3,2025-05-01,4.12
PaqpdqSitLpJOKf32j6358vbOWwI70BzpUs+cCD8E0s=,LX263866A,3,2025-05-01,3.13
yneFveMLNJ/D26M0tCa+GyYICLI1D8PuYbnGlfYJfCc=,HS776705D,3,2025-05-01,10.79
bDJ1NpELcyDQGNHOvedZEy3Wp9tL1EEP46erQfSeX2c=,AN500170D,3,2025-05-01,0.13
hQ/8jGbBPovrBlEMztgnwqTMIRhCXkcsaaSX/rFPb+Q=,AG231021A,3,2025-05-01,12.41
jJp/v+uKbM88MYzLrW4tbuvUBTA9IeldCcUSaf0rZZE=,CA911931C,3,2025-05-01,9.16
7McuolXxtHpO8yaFVsaRTNFQ8zS7oxejPgTXb+Xdfb8=,AN572056D,3,2025-05-01,3.28
d1Yfu7RJ0J5zG2xQagRb0dvwg0IC9IccKK6hepxZGG0=,BG373298B,3,2025-05-01,2.26
oHf85id1n1vIG2sI++r62fZSjZgavcOPruURlNWNHDY=,CZ319341A,3,2025-05-01,8.13
rioY4g9fGdlD1vKo2aZxtBNh4+0Fr9aIFA2j6jLh6Ps=,GX607048C,3,2025-05-01,2.58
PaqpdqSitLpJOKf32j6358vbOWwI70BzpUs+cCD8E0s=,LX263866A,3,2025-05-01,1.85
ZUHfmszlMXY8G7NTPR6TqNROgjhkvRqUbN4ylkoiQns=,HK590129B,3,2025-05-01,12.85
IPUznhyBCuMBi8+Oh2K8rTeY7U7QoiQsZlh3O8XFaug=,GB224434D,3,2025-05-01,0.22
K6K4a6eLyn9vZn0AHYA9+JSJVpBxarYmzYGDG5jHjEQ=,KY528594C,3,2025-05-01,56.33
